E(Gpa),v,Cond(W/m-K),CTE(µm/m-°C),Temp(°C),ETemp(GPa)
115.0,0.307,159.0,1.8699999999999997,-18.0,116.37344
115.0,0.307,159.0,1.8699999999999997,13.0,114.07258999999999
115.0,0.307,159.0,1.8699999999999997,30.0,112.84864999999999
115.0,0.307,159.0,1.8699999999999997,97.0,108.2704
115.0,0.307,159.0,1.8699999999999997,169.0,103.74694000000001
115.0,0.307,159.0,1.8699999999999997,197.0,102.08794
115.0,0.307,159.0,1.8699999999999997,258.0,98.65117
115.0,0.307,159.0,1.8699999999999997,284.0,97.25547
115.0,0.307,159.0,1.8699999999999997,408.0,91.10732
115.0,0.307,159.0,1.8699999999999997,588.0,83.44709
110.0,0.375,140.0,1.91,-4.0,110.33399
110.0,0.375,140.0,1.91,-11.0,110.81966
110.0,0.375,140.0,1.91,51.0,106.65888000000001
110.0,0.375,140.0,1.91,92.0,104.07446
110.0,0.375,140.0,1.91,151.0,100.56746000000001
110.0,0.375,140.0,1.91,195.0,98.10164
110.0,0.375,140.0,1.91,244.0,95.49388
110.0,0.375,140.0,1.91,281.0,93.61462
110.0,0.375,140.0,1.91,394.0,88.30599000000001
110.0,0.375,140.0,1.91,607.0,79.77508
105.0,0.346,115.0,2.03,-18.0,106.25779
105.0,0.346,115.0,2.03,14.0,104.11443
105.0,0.346,115.0,2.03,38.0,102.56293
105.0,0.346,115.0,2.03,98.0,98.87886999999999
105.0,0.346,115.0,2.03,153.0,95.72626
105.0,0.346,115.0,2.03,190.0,93.716
105.0,0.346,115.0,2.03,230.0,91.63575
105.0,0.346,115.0,2.03,299.0,88.25546
105.0,0.346,115.0,2.03,414.0,83.14258
105.0,0.346,115.0,2.03,580.0,76.72424000000001
115.0,0.307,173.0,1.86,-21.0,116.59244
115.0,0.307,173.0,1.86,-19.0,116.4417
115.0,0.307,173.0,1.86,56.0,111.04761
115.0,0.307,173.0,1.86,109.0,107.52698
115.0,0.307,173.0,1.86,153.0,104.76929
115.0,0.307,173.0,1.86,196.0,102.20757
115.0,0.307,173.0,1.86,242.0,99.60177
115.0,0.307,173.0,1.86,307.0,96.13806
115.0,0.307,173.0,1.86,418.0,90.74783000000001
115.0,0.307,173.0,1.86,612.0,82.64681
110.0,0.38,110.0,2.02,-18.0,111.38465
110.0,0.38,110.0,2.02,18.0,108.76778
110.0,0.38,110.0,2.02,48.0,106.67866000000001
110.0,0.38,110.0,2.02,82.0,104.40606
110.0,0.38,110.0,2.02,149.0,100.19909
110.0,0.38,110.0,2.02,185.0,98.07535
110.0,0.38,110.0,2.02,261.0,93.87394
110.0,0.38,110.0,2.02,299.0,91.90519
110.0,0.38,110.0,2.02,387.0,87.6473
110.0,0.38,110.0,2.02,580.0,79.56057000000001
110.0,0.375,120.0,1.99,-16.0,111.21675
110.0,0.375,120.0,1.99,-12.0,110.92475
110.0,0.375,120.0,1.99,41.0,107.19679
110.0,0.375,120.0,1.99,98.0,103.45667999999999
110.0,0.375,120.0,1.99,131.0,101.40795
110.0,0.375,120.0,1.99,217.0,96.43102999999999
110.0,0.375,120.0,1.99,265.0,93.85916
110.0,0.375,120.0,1.99,281.0,93.03228999999999
110.0,0.375,120.0,1.99,385.0,87.99142
110.0,0.375,120.0,1.99,618.0,78.46207000000001
110.0,0.38,137.0,1.89,-35.0,112.49311999999999
110.0,0.38,137.0,1.89,-9.0,110.67609
110.0,0.38,137.0,1.89,65.0,105.81058999999999
110.0,0.38,137.0,1.89,105.0,103.35431
110.0,0.38,137.0,1.89,145.0,101.00892
110.0,0.38,137.0,1.89,213.0,97.25703999999999
110.0,0.38,137.0,1.89,253.0,95.17681
110.0,0.38,137.0,1.89,316.0,92.07493
110.0,0.38,137.0,1.89,398.0,88.32721000000001
110.0,0.38,137.0,1.89,584.0,80.85896000000001
110.0,0.38,110.0,2.02,-28.0,112.13400999999999
110.0,0.38,110.0,2.02,-15.0,111.16144
110.0,0.38,110.0,2.02,43.0,107.02121000000001
110.0,0.38,110.0,2.02,83.0,104.34101
110.0,0.38,110.0,2.02,145.0,100.44073
110.0,0.38,110.0,2.02,214.0,96.4285
110.0,0.38,110.0,2.02,257.0,94.08608
110.0,0.38,110.0,2.02,280.0,92.87943
110.0,0.38,110.0,2.02,383.0,87.83228
110.0,0.38,110.0,2.02,584.0,79.40867999999999
110.0,0.38,110.0,2.02,-24.0,111.83306
110.0,0.38,110.0,2.02,19.0,108.6965
110.0,0.38,110.0,2.02,37.0,107.43517999999999
110.0,0.38,110.0,2.02,90.0,103.88531
110.0,0.38,110.0,2.02,154.0,99.89866
110.0,0.38,110.0,2.02,192.0,97.6725
110.0,0.38,110.0,2.02,259.0,93.97989
110.0,0.38,110.0,2.02,308.0,91.45089999999999
110.0,0.38,110.0,2.02,413.0,86.46387
110.0,0.38,110.0,2.02,583.0,79.44638
110.0,0.38,110.0,2.02,-12.0,110.93982000000001
110.0,0.38,110.0,2.02,19.0,108.6965
110.0,0.38,110.0,2.02,69.0,105.26382000000001
110.0,0.38,110.0,2.02,115.0,102.29083
110.0,0.38,110.0,2.02,166.0,99.1849
110.0,0.38,110.0,2.02,192.0,97.6725
110.0,0.38,110.0,2.02,260.0,93.92716
110.0,0.38,110.0,2.02,319.0,90.90172
110.0,0.38,110.0,2.02,415.0,86.37414
110.0,0.38,110.0,2.02,583.0,79.44638
110.0,0.28,123.0,1.86,-20.0,111.37906
110.0,0.28,123.0,1.86,15.0,109.01250999999999
110.0,0.28,123.0,1.86,52.0,106.61792
110.0,0.28,123.0,1.86,97.0,103.84332
110.0,0.28,123.0,1.86,150.0,100.75449
110.0,0.28,123.0,1.86,190.0,98.54244
110.0,0.28,123.0,1.86,236.0,96.11538
110.0,0.28,123.0,1.86,319.0,92.02517999999999
110.0,0.28,123.0,1.86,396.0,88.52975
110.0,0.28,123.0,1.86,591.0,80.75946
100.0,0.28,116.0,2.1199999999999997,-2.0,100.14034
100.0,0.28,116.0,2.1199999999999997,0.0,100.01321
100.0,0.28,116.0,2.1199999999999997,38.0,97.65745
100.0,0.28,116.0,2.1199999999999997,104.0,93.81893
100.0,0.28,116.0,2.1199999999999997,139.0,91.90324000000001
100.0,0.28,116.0,2.1199999999999997,184.0,89.55177
100.0,0.28,116.0,2.1199999999999997,245.0,86.54988
100.0,0.28,116.0,2.1199999999999997,280.0,84.91632000000001
100.0,0.28,116.0,2.1199999999999997,409.0,79.39298
100.0,0.28,116.0,2.1199999999999997,618.0,71.82181
105.0,0.346,115.0,2.03,-8.0,105.57852
105.0,0.346,115.0,2.03,2.0,104.9082
105.0,0.346,115.0,2.03,48.0,101.93017
105.0,0.346,115.0,2.03,100.0,98.76075999999999
105.0,0.346,115.0,2.03,136.0,96.67908
105.0,0.346,115.0,2.03,219.0,92.19830999999999
105.0,0.346,115.0,2.03,262.0,90.0363
105.0,0.346,115.0,2.03,307.0,87.87959
105.0,0.346,115.0,2.03,411.0,83.26838000000001
105.0,0.346,115.0,2.03,600.0,76.0171
105.0,0.346,115.0,2.03,-5.0,105.37656
105.0,0.346,115.0,2.03,-4.0,105.30931
105.0,0.346,115.0,2.03,57.0,101.36739999999999
105.0,0.346,115.0,2.03,84.0,99.71481
105.0,0.346,115.0,2.03,162.0,95.22963
105.0,0.346,115.0,2.03,201.0,93.13485
105.0,0.346,115.0,2.03,244.0,90.92904
105.0,0.346,115.0,2.03,285.0,88.92116
105.0,0.346,115.0,2.03,388.0,84.24623
105.0,0.346,115.0,2.03,582.0,76.65302
105.0,0.346,115.0,2.03,-26.0,106.80704
105.0,0.346,115.0,2.03,-17.0,106.18939999999999
105.0,0.346,115.0,2.03,44.0,102.1824
105.0,0.346,115.0,2.03,119.0,97.65101
105.0,0.346,115.0,2.03,140.0,96.45349
105.0,0.346,115.0,2.03,187.0,93.87606
105.0,0.346,115.0,2.03,256.0,90.332
105.0,0.346,115.0,2.03,305.0,87.97312
105.0,0.346,115.0,2.03,415.0,83.10068
105.0,0.346,115.0,2.03,613.0,75.56453
105.0,0.346,115.0,2.03,-1.0,105.10837
105.0,0.346,115.0,2.03,1.0,104.97463
105.0,0.346,115.0,2.03,62.0,101.05692
105.0,0.346,115.0,2.03,108.0,98.29054
105.0,0.346,115.0,2.03,137.0,96.62272
105.0,0.346,115.0,2.03,183.0,94.09002000000001
105.0,0.346,115.0,2.03,266.0,89.84029
105.0,0.346,115.0,2.03,307.0,87.87959
105.0,0.346,115.0,2.03,384.0,84.41836
105.0,0.346,115.0,2.03,619.0,75.35728
110.0,0.375,120.0,1.99,-35.0,112.62432000000001
110.0,0.375,120.0,1.99,6.0,109.63
110.0,0.375,120.0,1.99,56.0,106.18651
110.0,0.375,120.0,1.99,111.0,102.63994
110.0,0.375,120.0,1.99,150.0,100.26482
110.0,0.375,120.0,1.99,214.0,96.59629
110.0,0.375,120.0,1.99,245.0,94.91403
110.0,0.375,120.0,1.99,303.0,91.91844
110.0,0.375,120.0,1.99,396.0,87.48992
110.0,0.375,120.0,1.99,616.0,78.53504
105.0,0.346,120.0,2.08,-22.0,106.569
105.0,0.346,120.0,2.08,10.0,104.36155000000001
105.0,0.346,120.0,2.08,41.0,102.30851
105.0,0.346,120.0,2.08,116.0,97.65930999999999
105.0,0.346,120.0,2.08,155.0,95.40471000000001
105.0,0.346,120.0,2.08,182.0,93.90384
105.0,0.346,120.0,2.08,264.0,89.62078
105.0,0.346,120.0,2.08,304.0,87.66998
105.0,0.346,120.0,2.08,385.0,83.96832
105.0,0.346,120.0,2.08,619.0,74.83599000000001
105.0,0.346,115.0,2.03,-2.0,105.17537
105.0,0.346,115.0,2.03,16.0,103.98351
105.0,0.346,115.0,2.03,60.0,101.18058
105.0,0.346,115.0,2.03,98.0,98.87886999999999
105.0,0.346,115.0,2.03,130.0,97.02002
105.0,0.346,115.0,2.03,217.0,92.30153
105.0,0.346,115.0,2.03,269.0,89.69391999999999
105.0,0.346,115.0,2.03,286.0,88.87297
105.0,0.346,115.0,2.03,394.0,83.98885
105.0,0.346,115.0,2.03,618.0,75.3918
115.0,0.307,159.0,1.8699999999999997,-1.0,115.09998
115.0,0.307,159.0,1.8699999999999997,7.0,114.51075
115.0,0.307,159.0,1.8699999999999997,55.0,111.09574
115.0,0.307,159.0,1.8699999999999997,93.0,108.53344
115.0,0.307,159.0,1.8699999999999997,134.0,105.8977
115.0,0.307,159.0,1.8699999999999997,202.0,101.79723
115.0,0.307,159.0,1.8699999999999997,237.0,99.80796000000001
115.0,0.307,159.0,1.8699999999999997,296.0,96.62441
115.0,0.307,159.0,1.8699999999999997,382.0,92.33134
115.0,0.307,159.0,1.8699999999999997,597.0,83.09758000000001
105.0,0.35,123.0,2.08,-21.0,106.50019
105.0,0.35,123.0,2.08,1.0,104.97525999999999
105.0,0.35,123.0,2.08,58.0,101.2193
105.0,0.35,123.0,2.08,105.0,98.31867
105.0,0.35,123.0,2.08,169.0,94.62534
105.0,0.35,123.0,2.08,189.0,93.52733
105.0,0.35,123.0,2.08,254.0,90.12836999999999
105.0,0.35,123.0,2.08,309.0,87.43858
105.0,0.35,123.0,2.08,411.0,82.85282000000001
105.0,0.35,123.0,2.08,599.0,75.54699000000001
110.0,0.38,110.0,2.02,-4.0,110.35219000000001
110.0,0.38,110.0,2.02,-1.0,110.13308
110.0,0.38,110.0,2.02,56.0,106.13510000000001
110.0,0.38,110.0,2.02,108.0,102.73233
110.0,0.38,110.0,2.02,155.0,99.83878
110.0,0.38,110.0,2.02,183.0,98.19098
110.0,0.38,110.0,2.02,242.0,94.89048
110.0,0.38,110.0,2.02,284.0,92.67267
110.0,0.38,110.0,2.02,399.0,87.09701
110.0,0.38,110.0,2.02,615.0,78.2506
100.0,0.28,116.0,2.1199999999999997,-33.0,102.15287
100.0,0.28,116.0,2.1199999999999997,-15.0,100.9748
100.0,0.28,116.0,2.1199999999999997,48.0,97.05583
100.0,0.28,116.0,2.1199999999999997,83.0,95.00703999999999
100.0,0.28,116.0,2.1199999999999997,161.0,90.73848
100.0,0.28,116.0,2.1199999999999997,218.0,87.85335
100.0,0.28,116.0,2.1199999999999997,258.0,85.93601
100.0,0.28,116.0,2.1199999999999997,285.0,84.68811
100.0,0.28,116.0,2.1199999999999997,414.0,79.19342
100.0,0.28,116.0,2.1199999999999997,588.0,72.81896
105.0,0.346,115.0,2.03,-40.0,107.78277
105.0,0.346,115.0,2.03,9.0,104.44364999999999
105.0,0.346,115.0,2.03,42.0,102.30914
105.0,0.346,115.0,2.03,119.0,97.65101
105.0,0.346,115.0,2.03,157.0,95.50509
105.0,0.346,115.0,2.03,201.0,93.13485
105.0,0.346,115.0,2.03,257.0,90.28255
105.0,0.346,115.0,2.03,295.0,88.44435
105.0,0.346,115.0,2.03,397.0,83.86088000000001
105.0,0.346,115.0,2.03,613.0,75.56453
110.0,0.375,140.0,1.91,-38.0,112.73476
110.0,0.375,140.0,1.91,-17.0,111.23977000000001
110.0,0.375,140.0,1.91,63.0,105.88961
110.0,0.375,140.0,1.91,97.0,103.76788
110.0,0.375,140.0,1.91,133.0,101.61205
110.0,0.375,140.0,1.91,215.0,97.02025
110.0,0.375,140.0,1.91,269.0,94.216
110.0,0.375,140.0,1.91,318.0,91.80771
110.0,0.375,140.0,1.91,400.0,88.04099000000001
110.0,0.375,140.0,1.91,594.0,80.24833
100.0,0.28,116.0,2.1199999999999997,-25.0,101.62608
100.0,0.28,116.0,2.1199999999999997,8.0,99.50758
100.0,0.28,116.0,2.1199999999999997,68.0,95.8745
100.0,0.28,116.0,2.1199999999999997,80.0,95.17939
100.0,0.28,116.0,2.1199999999999997,130.0,92.38851
100.0,0.28,116.0,2.1199999999999997,216.0,87.95149
100.0,0.28,116.0,2.1199999999999997,264.0,85.65533
100.0,0.28,116.0,2.1199999999999997,310.0,83.56465
100.0,0.28,116.0,2.1199999999999997,398.0,79.83573
100.0,0.28,116.0,2.1199999999999997,616.0,71.88745
115.0,0.28,180.0,1.8399999999999996,-22.0,116.64088000000001
115.0,0.28,180.0,1.8399999999999996,8.0,114.43515
115.0,0.28,180.0,1.8399999999999996,65.0,110.46579
115.0,0.28,180.0,1.8399999999999996,109.0,107.58464
115.0,0.28,180.0,1.8399999999999996,145.0,105.33664
115.0,0.28,180.0,1.8399999999999996,212.0,101.39325
115.0,0.28,180.0,1.8399999999999996,264.0,98.53039
115.0,0.28,180.0,1.8399999999999996,292.0,97.05489999999999
115.0,0.28,180.0,1.8399999999999996,398.0,91.84621000000001
115.0,0.28,180.0,1.8399999999999996,580.0,84.09543
110.0,0.38,110.0,2.02,-5.0,110.42496000000001
110.0,0.38,110.0,2.02,13.0,109.12353999999999
110.0,0.38,110.0,2.02,36.0,107.5045
110.0,0.38,110.0,2.02,108.0,102.73233
110.0,0.38,110.0,2.02,149.0,100.19909
110.0,0.38,110.0,2.02,182.0,98.24860000000001
110.0,0.38,110.0,2.02,257.0,94.08608
110.0,0.38,110.0,2.02,318.0,90.95136
110.0,0.38,110.0,2.02,412.0,86.50883
110.0,0.38,110.0,2.02,582.0,79.48436
110.0,0.375,140.0,1.91,-15.0,111.09926
110.0,0.375,140.0,1.91,-20.0,111.45066
110.0,0.375,140.0,1.91,38.0,107.50522
110.0,0.375,140.0,1.91,109.0,103.03921000000001
110.0,0.375,140.0,1.91,160.0,100.05285
110.0,0.375,140.0,1.91,211.0,97.23463000000001
110.0,0.375,140.0,1.91,263.0,94.51944
110.0,0.375,140.0,1.91,289.0,93.21793
110.0,0.375,140.0,1.91,410.0,87.60271
110.0,0.375,140.0,1.91,587.0,80.50555
110.0,0.375,120.0,1.99,-21.0,111.58347
110.0,0.375,120.0,1.99,-2.0,110.20158
110.0,0.375,120.0,1.99,50.0,106.58825999999999
110.0,0.375,120.0,1.99,105.0,103.01531
110.0,0.375,120.0,1.99,146.0,100.50345
110.0,0.375,120.0,1.99,219.0,96.32117
110.0,0.375,120.0,1.99,249.0,94.70111
110.0,0.375,120.0,1.99,310.0,91.56939999999999
110.0,0.375,120.0,1.99,399.0,87.35400999999999
110.0,0.375,120.0,1.99,598.0,79.19865
110.0,0.375,120.0,1.99,-4.0,110.34567999999999
110.0,0.375,120.0,1.99,-1.0,110.12951
110.0,0.375,120.0,1.99,53.0,106.38683999999999
110.0,0.375,120.0,1.99,106.0,102.95230000000001
110.0,0.375,120.0,1.99,161.0,99.61461
110.0,0.375,120.0,1.99,182.0,98.3966
110.0,0.375,120.0,1.99,231.0,95.66638999999999
110.0,0.375,120.0,1.99,294.0,92.3707
110.0,0.375,120.0,1.99,407.0,86.99406
110.0,0.375,120.0,1.99,609.0,78.79166000000001
110.0,0.38,110.0,2.02,-38.0,112.89349
110.0,0.38,110.0,2.02,18.0,108.76778
110.0,0.38,110.0,2.02,52.0,106.40619000000001
110.0,0.38,110.0,2.02,92.0,103.75592
110.0,0.38,110.0,2.02,140.0,100.74443
110.0,0.38,110.0,2.02,203.0,97.04681
110.0,0.38,110.0,2.02,263.0,93.76823
110.0,0.38,110.0,2.02,312.0,91.25043
110.0,0.38,110.0,2.02,398.0,87.14285000000001
110.0,0.38,110.0,2.02,616.0,78.21378
105.0,0.346,115.0,2.03,-18.0,106.25779
105.0,0.346,115.0,2.03,-3.0,105.24213
105.0,0.346,115.0,2.03,38.0,102.56293
105.0,0.346,115.0,2.03,80.0,99.9562
105.0,0.346,115.0,2.03,147.0,96.06052000000001
105.0,0.346,115.0,2.03,195.0,93.45099
105.0,0.346,115.0,2.03,234.0,91.43249
105.0,0.346,115.0,2.03,312.0,87.64622
105.0,0.346,115.0,2.03,400.0,83.7333
105.0,0.346,115.0,2.03,613.0,75.56453
110.0,0.38,137.0,1.89,-12.0,110.88264
110.0,0.38,137.0,1.89,-11.0,110.8137
110.0,0.38,137.0,1.89,34.0,107.79585
110.0,0.38,137.0,1.89,99.0,103.71555000000001
110.0,0.38,137.0,1.89,153.0,100.55259
110.0,0.38,137.0,1.89,207.0,97.57666
110.0,0.38,137.0,1.89,233.0,96.20542999999999
110.0,0.38,137.0,1.89,291.0,93.28134
110.0,0.38,137.0,1.89,381.0,89.07889
110.0,0.38,137.0,1.89,589.0,80.67545
110.0,0.28,123.0,1.86,-29.0,112.00449
110.0,0.28,123.0,1.86,0.0,110.01469
110.0,0.28,123.0,1.86,37.0,107.57609
110.0,0.28,123.0,1.86,95.0,103.96321
110.0,0.28,123.0,1.86,153.0,100.58537
110.0,0.28,123.0,1.86,180.0,99.08639
110.0,0.28,123.0,1.86,237.0,96.06383
110.0,0.28,123.0,1.86,316.0,92.16702000000001
110.0,0.28,123.0,1.86,393.0,88.66103
110.0,0.28,123.0,1.86,603.0,80.32531
115.0,0.307,159.0,1.8699999999999997,-32.0,117.44317
115.0,0.307,159.0,1.8699999999999997,3.0,114.80461
115.0,0.307,159.0,1.8699999999999997,53.0,111.23403
115.0,0.307,159.0,1.8699999999999997,90.0,108.73139
115.0,0.307,159.0,1.8699999999999997,167.0,103.86757
115.0,0.307,159.0,1.8699999999999997,202.0,101.79723
115.0,0.307,159.0,1.8699999999999997,243.0,99.47448
115.0,0.307,159.0,1.8699999999999997,289.0,96.99155
115.0,0.307,159.0,1.8699999999999997,413.0,90.87561
115.0,0.307,159.0,1.8699999999999997,619.0,82.25571000000001
115.0,0.307,345.0,1.77,-2.0,115.16636
115.0,0.307,345.0,1.77,1.0,114.95624000000001
115.0,0.307,345.0,1.77,60.0,110.9722
115.0,0.307,345.0,1.77,100.0,108.42469
115.0,0.307,345.0,1.77,164.0,104.58251
115.0,0.307,345.0,1.77,203.0,102.37181
115.0,0.307,345.0,1.77,260.0,99.3034
115.0,0.307,345.0,1.77,294.0,97.5591
115.0,0.307,345.0,1.77,399.0,92.53864
115.0,0.307,345.0,1.77,617.0,83.60324
105.0,0.346,115.0,2.03,-33.0,107.29286
105.0,0.346,115.0,2.03,2.0,104.9082
105.0,0.346,115.0,2.03,34.0,102.81830000000001
105.0,0.346,115.0,2.03,84.0,99.71481
105.0,0.346,115.0,2.03,137.0,96.62272
105.0,0.346,115.0,2.03,217.0,92.30153
105.0,0.346,115.0,2.03,235.0,91.38208
105.0,0.346,115.0,2.03,299.0,88.25546
105.0,0.346,115.0,2.03,415.0,83.10068
105.0,0.346,115.0,2.03,616.0,75.46088
105.0,0.346,123.0,2.08,-25.0,106.78069
105.0,0.346,123.0,2.08,-14.0,106.00869999999999
105.0,0.346,123.0,2.08,37.0,102.56862
105.0,0.346,123.0,2.08,82.0,99.71332000000001
105.0,0.346,123.0,2.08,144.0,96.03007000000001
105.0,0.346,123.0,2.08,213.0,92.23739
105.0,0.346,123.0,2.08,258.0,89.92083
105.0,0.346,123.0,2.08,315.0,87.14825
105.0,0.346,123.0,2.08,412.0,82.80265
105.0,0.346,123.0,2.08,599.0,75.53847999999999
110.0,0.341,160.0,1.82,-23.0,111.57422
110.0,0.341,160.0,1.82,13.0,109.19252
110.0,0.341,160.0,1.82,43.0,107.28427
110.0,0.341,160.0,1.82,104.0,103.60210000000001
110.0,0.341,160.0,1.82,150.0,100.98841
110.0,0.341,160.0,1.82,181.0,99.2999
110.0,0.341,160.0,1.82,261.0,95.19189999999999
